IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.150.13,2096,2096,TRUE,SIN,Asia Pacific,Singapore,62,11.07
8.218.127.249,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,178,11.07
8.219.170.232,2082,2082,FALSE,SIN,Asia Pacific,Singapore,3,11.06
47.236.123.133,2087,2087,TRUE,SIN,Asia Pacific,Singapore,95,11.06
8.219.174.213,2083,2083,TRUE,SIN,Asia Pacific,Singapore,61,11.06
8.219.84.214,2095,2095,FALSE,SIN,Asia Pacific,Singapore,6,11.06
8.219.240.160,443,443,TRUE,SIN,Asia Pacific,Singapore,61,11.06
8.219.147.58,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,11.05
8.219.167.65,443,443,TRUE,SIN,Asia Pacific,Singapore,86,11.05
8.222.174.108,2052,2052,FALSE,SIN,Asia Pacific,Singapore,21,11.05
47.236.144.208,80,80,FALSE,SIN,Asia Pacific,Singapore,17,11.05
47.236.174.206,2095,2095,FALSE,SIN,Asia Pacific,Singapore,73,11.04
8.219.126.240,2086,2086,FALSE,SIN,Asia Pacific,Singapore,17,11.04
47.236.97.90,2096,2096,TRUE,SIN,Asia Pacific,Singapore,64,11.03
8.219.161.129,2095,2095,FALSE,SIN,Asia Pacific,Singapore,3,11.03
8.222.254.91,2095,2095,FALSE,SIN,Asia Pacific,Singapore,5,11.03
8.219.229.190,2096,2096,TRUE,SIN,Asia Pacific,Singapore,54,11.02
8.222.162.45,8443,8443,TRUE,SIN,Asia Pacific,Singapore,104,11.02
47.76.32.108,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,44,11.02
8.222.221.109,2096,2096,TRUE,SIN,Asia Pacific,Singapore,82,11.01
47.236.167.231,2083,2083,TRUE,SIN,Asia Pacific,Singapore,70,11.01
8.219.137.50,2082,2082,FALSE,SIN,Asia Pacific,Singapore,4,11.01
8.219.142.229,2052,2052,FALSE,SIN,Asia Pacific,Singapore,52,11.01
47.236.171.205,2086,2086,FALSE,SIN,Asia Pacific,Singapore,38,11
8.219.73.188,2053,2053,TRUE,SIN,Asia Pacific,Singapore,81,11
8.219.104.37,2083,2083,TRUE,SIN,Asia Pacific,Singapore,85,11
8.222.223.34,2095,2095,FALSE,SIN,Asia Pacific,Singapore,11,11
8.210.245.224,443,443,TRUE,HKG,Asia Pacific,Hong Kong,57,11
