IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.236.104.165,2095,80,FALSE,SYD,Oceania,Sydney,100,4.62
54.253.222.7,2083,80,FALSE,SYD,Oceania,Sydney,93,4.6
54.253.222.7,2052,80,FALSE,SYD,Oceania,Sydney,93,4.59
52.58.252.73,8080,443,TRUE,FRA,Europe,Frankfurt,256,4.59
13.236.104.165,2087,80,FALSE,SYD,Oceania,Sydney,93,4.57
13.236.104.165,2053,80,FALSE,SYD,Oceania,Sydney,93,4.54
54.253.222.7,2095,80,FALSE,SYD,Oceania,Sydney,94,4.54
13.236.104.165,2052,80,FALSE,SYD,Oceania,Sydney,93,4.52
13.211.0.227,2096,80,FALSE,SYD,Oceania,Sydney,95,4.52
54.253.222.7,2086,80,FALSE,SYD,Oceania,Sydney,93,4.51
13.211.0.227,2087,80,FALSE,SYD,Oceania,Sydney,93,4.51
13.236.104.165,2086,80,FALSE,SYD,Oceania,Sydney,93,4.49
13.236.104.165,2082,80,FALSE,SYD,Oceania,Sydney,93,4.46
13.211.0.227,2086,80,FALSE,SYD,Oceania,Sydney,96,4.45
54.253.222.7,2053,80,FALSE,SYD,Oceania,Sydney,97,4.44
54.253.222.7,2087,80,FALSE,SYD,Oceania,Sydney,93,4.43
54.253.222.7,2082,80,FALSE,SYD,Oceania,Sydney,95,4.39
54.253.222.7,2096,80,FALSE,SYD,Oceania,Sydney,93,4.39
13.211.0.227,2083,80,FALSE,SYD,Oceania,Sydney,94,4.36
13.211.0.227,2082,80,FALSE,SYD,Oceania,Sydney,97,4.35
13.211.0.227,2052,80,FALSE,SYD,Oceania,Sydney,93,4.34
13.211.0.227,2095,80,FALSE,SYD,Oceania,Sydney,95,4.34
13.211.0.227,2053,80,FALSE,SYD,Oceania,Sydney,93,4.34
54.252.91.41,2086,80,FALSE,SYD,Oceania,Sydney,93,4.27
54.252.91.41,2053,80,FALSE,SYD,Oceania,Sydney,93,4.26
54.252.91.41,2082,80,FALSE,SYD,Oceania,Sydney,98,4.23
54.252.91.41,2083,80,FALSE,SYD,Oceania,Sydney,93,4.22
54.252.91.41,2095,80,FALSE,SYD,Oceania,Sydney,93,4.21
34.65.115.78,443,443,TRUE,FRA,Europe,Frankfurt,252,4.53
35.198.190.148,443,443,TRUE,FRA,Europe,Frankfurt,255,4.53
35.204.230.15,443,443,TRUE,FRA,Europe,Frankfurt,261,4.52
34.116.206.219,443,443,TRUE,FRA,Europe,Frankfurt,278,4.51
34.34.27.147,443,443,TRUE,FRA,Europe,Frankfurt,259,4.51
34.116.221.87,443,443,TRUE,FRA,Europe,Frankfurt,285,4.5
34.65.89.138,443,443,TRUE,FRA,Europe,Frankfurt,255,4.48
34.34.0.127,443,443,TRUE,FRA,Europe,Frankfurt,260,4.48
34.118.5.223,443,443,TRUE,FRA,Europe,Frankfurt,214,4.47
34.90.233.120,443,443,TRUE,FRA,Europe,Frankfurt,260,4.47
34.118.105.120,443,443,TRUE,FRA,Europe,Frankfurt,277,4.47
35.198.186.9,443,443,TRUE,FRA,Europe,Frankfurt,262,4.46
35.198.72.152,443,443,TRUE,FRA,Europe,Frankfurt,272,4.45
34.65.85.125,443,443,TRUE,FRA,Europe,Frankfurt,254,4.45
34.65.233.172,443,443,TRUE,FRA,Europe,Frankfurt,253,4.45
34.89.159.1,443,443,TRUE,FRA,Europe,Frankfurt,259,4.45
34.65.89.138,443,443,TRUE,FRA,Europe,Frankfurt,252,4.44
34.89.148.147,443,443,TRUE,FRA,Europe,Frankfurt,250,4.43
34.118.17.165,443,443,TRUE,FRA,Europe,Frankfurt,278,4.43
34.118.72.139,443,443,TRUE,FRA,Europe,Frankfurt,291,4.43
34.90.234.217,443,443,TRUE,FRA,Europe,Frankfurt,278,4.43
34.91.71.92,443,443,TRUE,FRA,Europe,Frankfurt,307,4.42
34.118.69.246,443,443,TRUE,FRA,Europe,Frankfurt,325,4.41
34.34.35.183,443,443,TRUE,FRA,Europe,Frankfurt,261,4.4
34.116.225.173,443,443,TRUE,FRA,Europe,Frankfurt,274,4.38
34.159.54.249,443,443,TRUE,FRA,Europe,Frankfurt,421,4.38
34.118.117.246,443,443,TRUE,FRA,Europe,Frankfurt,273,4.37
34.90.234.217,443,443,TRUE,FRA,Europe,Frankfurt,269,4.37
35.242.221.191,443,443,TRUE,FRA,Europe,Frankfurt,293,4.36
34.90.233.120,443,443,TRUE,FRA,Europe,Frankfurt,284,4.36
34.116.167.166,443,443,TRUE,FRA,Europe,Frankfurt,312,4.36
34.154.164.148,443,443,TRUE,FRA,Europe,Frankfurt,255,4.36
34.107.79.216,443,443,TRUE,FRA,Europe,Frankfurt,297,4.35
34.159.126.198,443,443,TRUE,FRA,Europe,Frankfurt,280,4.35
34.118.42.177,443,443,TRUE,FRA,Europe,Frankfurt,335,4.34
34.116.238.49,443,443,TRUE,FRA,Europe,Frankfurt,318,4.34
34.116.255.233,443,443,TRUE,FRA,Europe,Frankfurt,326,4.33
34.118.25.92,443,443,TRUE,FRA,Europe,Frankfurt,297,4.33
34.118.11.228,443,443,TRUE,FRA,Europe,Frankfurt,329,4.33
34.116.193.101,443,443,TRUE,FRA,Europe,Frankfurt,268,4.33
34.154.240.154,443,443,TRUE,FRA,Europe,Frankfurt,259,4.31
34.90.234.217,443,443,TRUE,FRA,Europe,Frankfurt,269,4.3
34.90.145.46,443,443,TRUE,FRA,Europe,Frankfurt,269,4.29
34.116.137.135,443,443,TRUE,FRA,Europe,Frankfurt,329,4.29
34.65.127.188,443,443,TRUE,FRA,Europe,Frankfurt,255,4.27
34.65.133.57,443,443,TRUE,FRA,Europe,Frankfurt,253,4.27
34.116.193.229,443,443,TRUE,FRA,Europe,Frankfurt,410,4.27
34.154.104.51,443,443,TRUE,FRA,Europe,Frankfurt,268,4.27
34.116.255.233,443,443,TRUE,FRA,Europe,Frankfurt,267,4.27
34.118.65.137,443,443,TRUE,FRA,Europe,Frankfurt,319,4.26
34.118.61.152,443,443,TRUE,FRA,Europe,Frankfurt,301,4.25
34.147.16.159,443,443,TRUE,FRA,Europe,Frankfurt,269,4.25
34.141.21.177,443,443,TRUE,FRA,Europe,Frankfurt,261,4.23
34.118.109.211,443,443,TRUE,FRA,Europe,Frankfurt,281,4.22
34.65.115.78,443,443,TRUE,FRA,Europe,Frankfurt,255,4.21
34.116.193.101,443,443,TRUE,FRA,Europe,Frankfurt,335,4.21
35.204.106.202,443,443,TRUE,FRA,Europe,Frankfurt,263,4.21
34.116.178.230,443,443,TRUE,FRA,Europe,Frankfurt,298,4.2
34.65.187.42,443,443,TRUE,FRA,Europe,Frankfurt,260,4.19
34.116.248.5,443,443,TRUE,FRA,Europe,Frankfurt,329,4.18
34.34.27.147,443,443,TRUE,FRA,Europe,Frankfurt,265,4.18
34.89.133.87,443,443,TRUE,FRA,Europe,Frankfurt,249,4.17
34.116.148.173,443,443,TRUE,FRA,Europe,Frankfurt,268,4.17
34.118.18.167,443,443,TRUE,FRA,Europe,Frankfurt,308,4.17
34.147.16.159,443,443,TRUE,FRA,Europe,Frankfurt,267,4.16
34.154.29.232,443,443,TRUE,FRA,Europe,Frankfurt,259,4.15
35.204.248.160,443,443,TRUE,FRA,Europe,Frankfurt,268,4.15
34.159.198.184,443,443,TRUE,FRA,Europe,Frankfurt,273,4.14
34.116.248.5,443,443,TRUE,FRA,Europe,Frankfurt,285,4.14
34.65.89.138,443,443,TRUE,FRA,Europe,Frankfurt,259,4.14
34.118.80.175,443,443,TRUE,FRA,Europe,Frankfurt,268,4.14
34.141.27.54,443,443,TRUE,FRA,Europe,Frankfurt,252,4.14
34.154.137.95,443,443,TRUE,FRA,Europe,Frankfurt,261,4.13
34.65.233.172,443,443,TRUE,FRA,Europe,Frankfurt,252,4.13
34.65.233.172,443,443,TRUE,FRA,Europe,Frankfurt,280,4.12
34.116.249.57,443,443,TRUE,FRA,Europe,Frankfurt,313,4.12
34.116.131.175,443,443,TRUE,FRA,Europe,Frankfurt,328,4.12
34.89.148.147,443,443,TRUE,FRA,Europe,Frankfurt,250,4.12
34.118.20.131,443,443,TRUE,FRA,Europe,Frankfurt,312,4.12
34.118.45.21,443,443,TRUE,FRA,Europe,Frankfurt,306,4.11
34.116.141.181,443,443,TRUE,FRA,Europe,Frankfurt,275,4.11
34.116.157.236,443,443,TRUE,FRA,Europe,Frankfurt,276,4.1
34.116.222.28,443,443,TRUE,FRA,Europe,Frankfurt,321,4.09
34.118.75.249,443,443,TRUE,FRA,Europe,Frankfurt,282,4.08
34.159.23.226,443,443,TRUE,FRA,Europe,Frankfurt,254,4.07
34.65.143.247,443,443,TRUE,FRA,Europe,Frankfurt,259,4.07
34.90.234.217,443,443,TRUE,FRA,Europe,Frankfurt,259,4.07
34.90.145.46,443,443,TRUE,FRA,Europe,Frankfurt,269,4.06
35.246.191.74,443,443,TRUE,FRA,Europe,Frankfurt,260,4.05
